Day,Weekday,🌼 Good Habit Tracking,Effectiveness,📛 Bad Habit Tracking,Productivity,Morning Exercise,Evaluation After Each Task,Meditation,Reading,Code Practice,Night Exercise,Night Reflection,Personal Project,Wake Up Time,Sleep Time,Nap Hours,Total Sleep Hours,Browsing Social Media Times,"Eating Quality (1 - poor, 5 - good)",💰 Money Spend,Good parts - achievement,Week,Date,Good Habit Tracking Calculation,Assumptions To Chellenge,Finished Todos (Fixed Number),Habit,Today Todos,Bad parts - to Improve,Total Todos,Weight,Effectiveness Ref,Finished Todos Rollup (Changes over time),Sleep Quality
Aug 3,Tuesday,░░░░░░░ 75%,█████ 50%,⚪️⚪️⚪️⚪️⚪️⚪️⚪️⚪️,🔥 Very Productive,Yes,Yes,Yes,Yes,Yes,Yes,No,No,6.5,12,0,6.5,,,30,"Deep works session, some progress in site map building and function requirement creating.",Week 31 (https://www.notion.so/Week-31-e31aa59d7504410788b7c2887f6f80d2?pvs=21),"August 3, 2021",0.75,Can I be more aware with my own time and actions?,6,"✅ Write action plan each night ","1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-b7444b4b7bf54ed0aa6506ade3148203?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-99ab457a1ca44be59eed687f8aa5cf3d?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-0202d6f8dc5547d79b0ea90662038e07?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-d7dcaf743b1941ea9d46316dd905f096?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-b4f440b371e04e078d554cf5d81c61ba?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-c3ec2e946b584965bb9a2a9e6d86a176?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-f6f117404e7a4ad0961f175287dedb92?pvs=21), API docs side navigation, hide link to microservice button for Platform APIs (https://www.notion.so/API-docs-side-navigation-hide-link-to-microservice-button-for-Platform-APIs-e252387b09e64f598ce969ee63336a76?pvs=21), Clean up stand-alone try it out platform - Audio APIs (https://www.notion.so/Clean-up-stand-alone-try-it-out-platform-Audio-APIs-3b9ddac43bb846d982e634e8ab356550?pvs=21), 100 Principles (https://www.notion.so/100-Principles-034e26efa63946b18b7c683230129bd7?pvs=21), Websocket Documentation Process & Embed Try it Out to platform - With Priya (https://www.notion.so/Websocket-Documentation-Process-Embed-Try-it-Out-to-platform-With-Priya-0382a5b656f94672a2fe84aa383d2882?pvs=21), Research on AI-enabled Plugins  (https://www.notion.so/Research-on-AI-enabled-Plugins-9195119537344951a400c3440c14d9ea?pvs=21)",,12,,0.5,9,
Aug 2,Monday,░░░░░░░░ 88%,████████ 80%,⚪️⚪️⚪️⚪️⚪️⚪️⚪️⚪️,🔥 Very Productive,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,6,12,0,6,,,,"Good control of eating, sleep and working cycle. ",Week 31 (https://www.notion.so/Week-31-e31aa59d7504410788b7c2887f6f80d2?pvs=21),"August 2, 2021",0.875,Can I be more aware with my own time and actions?,8,"✅ Write action plan each night ","1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-973972b7d2644190ac6dc4ef1d565f36?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-0a060c312b704ba8aa2a1c7a59a09715?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-20c419fd9f6f4a54abb91f4c3320d1ce?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-fefa1b4ea60c40f98ab044b0e9a182a2?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-9727781629534ecd88a78d0dffddd6b3?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-08c4a5fcbd7e4c6b977427674ecd061e?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-1f4e570350914a2da5c3c511a7c59140?pvs=21), Clean up stand-alone try it out platform - Audio APIs (https://www.notion.so/Clean-up-stand-alone-try-it-out-platform-Audio-APIs-3b9ddac43bb846d982e634e8ab356550?pvs=21), IHI Dashboard User Journey  (https://www.notion.so/IHI-Dashboard-User-Journey-4ec4df97d97e40b2884cb59c3914aca7?pvs=21), Research Prototyping tools for light interactive demo and intermediate coder quick generated demo (https://www.notion.so/Research-Prototyping-tools-for-light-interactive-demo-and-intermediate-coder-quick-generated-demo-41faa21ca05a4e4293ee313a12d6063d?pvs=21)",A bit over spend time on solving leetcode questions,10,,0.8,10,
Aug 1,Sunday,░░░░░░ 63%,██████ 64%,⚪️⚪️⚪️⚪️⚪️⚪️⚪️⚪️,🚀 Productive,Yes,Yes,Yes,Yes,No,No,Yes,No,7,10,0,9,,,200,Sleep before 12 am. Planned action plan on the night,Week 30 (https://www.notion.so/Week-30-bc24c2a1a4fa4669864f19ec6ee9157c?pvs=21),"August 1, 2021",0.625,Can I talk slow and talk effectively?,9,"✅ Evaluation daily on each Action item had been completed. ","1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-5ef8f9559bbe4806a69f397a51029152?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-c06ee8b0841e49168570b7e0ce4d987b?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-c39837838074443a9b5f950c97fb6016?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-def999fda58d44dfbaef6db61b79ea8e?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-b177e2467b5c42d9b8b53ae3cbfc73af?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-963fb793751b4a738b9b6bdf107c3a6d?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-46fe030574294f059bcc1d65da57ab57?pvs=21), July Monthly Review (https://www.notion.so/July-Monthly-Review-d5074f21febc49a198e74fc447090df3?pvs=21), Transcription lines hardbreak indication (https://www.notion.so/Transcription-lines-hardbreak-indication-0b6352581ff84735954daea24c0d4d1a?pvs=21), Vue Component - Uploader Part 1 (https://www.notion.so/Vue-Component-Uploader-Part-1-55aaa7c3781a4b0caf213a4848036bac?pvs=21), Reading materials → Knowledge Lab (https://www.notion.so/Reading-materials-Knowledge-Lab-b139906f365847a085b89f455da9d98e?pvs=21), Update ""Read Me"" Message to Demo App Config.js file (https://www.notion.so/Update-Read-Me-Message-to-Demo-App-Config-js-file-83bf9caaa3fe42e89acf3f228f8a7f3c?pvs=21), 30 Second takeaway from book (https://www.notion.so/30-Second-takeaway-from-book-a3c91707a41a471ca89778b8c8bad1d9?pvs=21), Clean up stand-alone try it out platform - Audio APIs (https://www.notion.so/Clean-up-stand-alone-try-it-out-platform-Audio-APIs-3b9ddac43bb846d982e634e8ab356550?pvs=21)",Over ordered food in the morning.,14,,0.642857142857,11,
Jul 31,Saturday,░░░ 38%,██████ 63%,⚪️⚪️⚪️⚪️⚪️⚫️⚫️⚪️,❌ Not Productive,Yes,No,Yes,No,Yes,No,No,No,7,2.75,0,4.25,,,40,Sleep before 12am,Week 30 (https://www.notion.so/Week-30-bc24c2a1a4fa4669864f19ec6ee9157c?pvs=21),"July 31, 2021",0.375,Can I talk slow and talk effectively?,10,"✅ Evaluation daily on each Action item had been completed. ","1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-3785cea588a24e56a4b40a71f58991dd?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-4db16146fd1641449bee7786c20e3105?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-a4672207dfb14545b8722bd78c8c25bd?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-6895f5a0d164488a9983be1171484f88?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-5693d323b55745b185e397833f2782b0?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-fd21b03c2d0d4e91a8352dab53490394?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-b857696714c34aa3afe993af2016158c?pvs=21), 1. Week 30 Review (https://www.notion.so/1-Week-30-Review-0fd0903bfd48418ba73eab0977db2e1e?pvs=21), Error message UI display (https://www.notion.so/Error-message-UI-display-0b9e8aa515364ed4a86bcdd36a307ecf?pvs=21), Get floor plans for 331C (https://www.notion.so/Get-floor-plans-for-331C-9adc7ffb85f94b21bb2ec734f968cf60?pvs=21), July Monthly Review (https://www.notion.so/July-Monthly-Review-d5074f21febc49a198e74fc447090df3?pvs=21), 1- List of hotkeys on topbar (https://www.notion.so/1-List-of-hotkeys-on-topbar-c1a832ff5bde4c47aeeef11ef6a9afb0?pvs=21), 2- Save status on top bar (https://www.notion.so/2-Save-status-on-top-bar-600630955dfe442e965f1527008afda2?pvs=21), Transcription lines hardbreak indication (https://www.notion.so/Transcription-lines-hardbreak-indication-0b6352581ff84735954daea24c0d4d1a?pvs=21), Reading materials → Knowledge Lab (https://www.notion.so/Reading-materials-Knowledge-Lab-b139906f365847a085b89f455da9d98e?pvs=21), 30 Second takeaway from book (https://www.notion.so/30-Second-takeaway-from-book-a3c91707a41a471ca89778b8c8bad1d9?pvs=21)",Over ordered food to eat. Drink beer. Skipped night reflection,16,,0.625,15,
Jul 30,Friday,░░░ 38%,█████ 57%,🔵🔵⚪️⚪️⚪️⚫️⚫️⚪️,💣 Burnout Day,No,No,Yes,No,No,Yes,Yes,No,12,3,0,9,,,50,"Stop when I realised things are not in good state. ",Week 30 (https://www.notion.so/Week-30-bc24c2a1a4fa4669864f19ec6ee9157c?pvs=21),"July 30, 2021",0.375,Can I talk slow and talk effectively?,8,"✅ Evaluation daily on each Action item had been completed. ","1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-a2d62afdd4374becbbb8669b511b372f?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-e1d370b152844eba8b36c6d5c6656643?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-e025bbdb34af406ca26c4a554943871e?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-1c806111d77f46f0b373350a8fb5b614?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-c2e5dbcbd9eb4f33ba4c22c2110759e7?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-a71f54ed4e5f429f827a39c30426a214?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-19613f5fc90c41029ba144262335e415?pvs=21), Error message UI display (https://www.notion.so/Error-message-UI-display-0b9e8aa515364ed4a86bcdd36a307ecf?pvs=21), 1- List of hotkeys on topbar (https://www.notion.so/1-List-of-hotkeys-on-topbar-c1a832ff5bde4c47aeeef11ef6a9afb0?pvs=21), Transcription lines hardbreak indication (https://www.notion.so/Transcription-lines-hardbreak-indication-0b6352581ff84735954daea24c0d4d1a?pvs=21), 2- Save status on top bar (https://www.notion.so/2-Save-status-on-top-bar-600630955dfe442e965f1527008afda2?pvs=21), Document and Plan for embedding quasar component in to Vuetify (https://www.notion.so/Document-and-Plan-for-embedding-quasar-component-in-to-Vuetify-d1ff06e6e431448a993e7dd40ab6ed56?pvs=21), Reading materials → Knowledge Lab (https://www.notion.so/Reading-materials-Knowledge-Lab-b139906f365847a085b89f455da9d98e?pvs=21), Facesheet update logo (https://www.notion.so/Facesheet-update-logo-c6fc24b572fc408aaa77a93434f056f7?pvs=21)",Over spending time on tasks,14,,0.571428571429,14,
Jul 29,Thursday,░░░░░░ 63%,██████ 64%,🔵🔵⚪️⚪️⚪️⚫️⚫️⚪️,🚀 Productive,No,Yes,Yes,No,Yes,Yes,No,Yes,9,3.25,0,5.75,,,90,,Week 30 (https://www.notion.so/Week-30-bc24c2a1a4fa4669864f19ec6ee9157c?pvs=21),"July 29, 2021",0.625,Can I talk slow and talk effectively?,7,"✅ Evaluation daily on each Action item had been completed. ","1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-971f29d9870945cbb8f1a87f3327a3a9?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-0080acfdfe8946129c0bba9eb7270356?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-36ee81ed7c434587b8cfc7a173a8e940?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-771d2722fa6047ce93568faeeca49c7a?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-540cc463004d447fbbfdb58f009c8460?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-834d90a30ca64dfa98c6ce97ff7d2770?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-e8265ed7ff7f4e908436eac3fa39a8e3?pvs=21), [Research] Chrome AI plugin usage (https://www.notion.so/Research-Chrome-AI-plugin-usage-2d7c7cb6c6cb438ca132bbf9ed71cbb0?pvs=21), replay transcription button (https://www.notion.so/replay-transcription-button-7d902f0d26554088b4e61450522f1832?pvs=21), Set up new behance portfolio website (https://www.notion.so/Set-up-new-behance-portfolio-website-11be8e7caa90440b8991dadf1752b91e?pvs=21), Vue Component - Uploader Part 1 (https://www.notion.so/Vue-Component-Uploader-Part-1-55aaa7c3781a4b0caf213a4848036bac?pvs=21)",Lost control of time,11,,0.636363636364,9,
Jul 28,Wednesday,░░░░░ 50%,██████ 67%,⚪️⚪️⚪️⚪️⚪️⚫️⚫️⚪️,🚀 Productive,Yes,No,Yes,No,No,Yes,Yes,No,7.9,2.75,0,5.15,,,90,Python skill improvement,Week 30 (https://www.notion.so/Week-30-bc24c2a1a4fa4669864f19ec6ee9157c?pvs=21),"July 28, 2021",0.5,Can I talk slow and talk effectively?,6,"✅ Evaluation daily on each Action item had been completed. ","1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-932f68eb259e446b994a8696c5054d33?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-383aecd0de8941cab23c462c53d9535f?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-49db3be088f84a868dca374812df56b5?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-5cc11dc9c0ad4f4c8378178505c17bae?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-54f6f9b7ae5341f1b0f11495cca461b6?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-c30295787c344d63a0adde909d6f4036?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-f74fe06b2ff541f886b478b21f24f8f9?pvs=21), 3. Create new line, delete line, merge line functions (UI) (https://www.notion.so/3-Create-new-line-delete-line-merge-line-functions-UI-06ad1dc348a84929b7462b309565def0?pvs=21), [Research] AI enabled prototype platforms (https://www.notion.so/Research-AI-enabled-prototype-platforms-80fdd69720654652acfe0a549080f4e1?pvs=21)",Sleep too late at 3. Time management,9,,0.666666666667,6,
Jul 27,Tuesday,░░░░░░░░ 88%,██████ 62%,🔵⚪️⚪️⚪️🟣⚫️⚫️⚪️,🔥 Very Productive,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,8.9,2.75,1,7.15,,,75,"Continuously productive, typescript improvement",Week 30 (https://www.notion.so/Week-30-bc24c2a1a4fa4669864f19ec6ee9157c?pvs=21),"July 27, 2021",0.875,Can I talk slow and talk effectively?,8,"✅ Evaluation daily on each Action item had been completed. ","1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-76e210345ea440bdbd91f7f9de8be56b?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-49e2553cd0954c36933e0db6a798ad39?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-7de9755cf55942f0b246c9c84128eadb?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-81810e6523d0408ab2c85da9a51285e8?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-7eb21d9dd03541dd9928cebd52439642?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-37cafb1d080f440bb7d8d6b51dfc1340?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-9e46f8a8fd50428288978c6b156c2d6e?pvs=21), [Research] AI enabled prototype platforms (https://www.notion.so/Research-AI-enabled-prototype-platforms-80fdd69720654652acfe0a549080f4e1?pvs=21), [Research] Chrome AI plugin usage (https://www.notion.so/Research-Chrome-AI-plugin-usage-2d7c7cb6c6cb438ca132bbf9ed71cbb0?pvs=21), POTH fact sheet update text (https://www.notion.so/POTH-fact-sheet-update-text-89cf0028346f407b85528fbddd5d05ae?pvs=21), 100 Principles (https://www.notion.so/100-Principles-034e26efa63946b18b7c683230129bd7?pvs=21), Update ""Read Me"" Message to Demo App Config.js file (https://www.notion.so/Update-Read-Me-Message-to-Demo-App-Config-js-file-83bf9caaa3fe42e89acf3f228f8a7f3c?pvs=21), Demo app generator - Create new folder with copied css styles. (https://www.notion.so/Demo-app-generator-Create-new-folder-with-copied-css-styles-62f55974b2d84f36968130b9c4199759?pvs=21)",In the morning didn't plan my day very well,13,,0.615384615385,10,
Jul 26,Monday,░░░░░░░░ 88%,███████ 72%,⚪️⚪️⚪️⚪️🟣⚫️⚫️⚪️,🚀 Productive,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,7.75,2.5,1.75,7,,,49,"Nap with alarm clock set, progress in python demo app generator ",Week 30 (https://www.notion.so/Week-30-bc24c2a1a4fa4669864f19ec6ee9157c?pvs=21),"July 26, 2021",0.875,Can I talk slow and talk effectively?,13,"✅ Evaluation daily on each Action item had been completed. ","1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-4a89f2e2ae38476dbe9558a8c1ae894e?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-ba56f4fb3d66462690587a2cbf8e8b71?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-d085ca1f1e004b63bca37091a4d08e07?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-07cf950c2009411baf0bc5ecf9250ee6?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-e21923bb7d6a42ec86c74adc23d4c545?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-cd61ead117d84808b1b4dc6b08bcf03d?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-ee7a28e4bcc24c7baeb4f338c0085c8f?pvs=21), Follow up with Zi Jian About IHI action items (https://www.notion.so/Follow-up-with-Zi-Jian-About-IHI-action-items-494aa45aa90b4cd5a6b6a7a1e8ab0624?pvs=21), Extract Try it out to individual quasar project and host for testing (https://www.notion.so/Extract-Try-it-out-to-individual-quasar-project-and-host-for-testing-eb57aac53d1f4290a4d634176b0ec2ea?pvs=21), [Research] AI enabled prototype platforms (https://www.notion.so/Research-AI-enabled-prototype-platforms-80fdd69720654652acfe0a549080f4e1?pvs=21), Document and Plan for embedding quasar component in to Vuetify (https://www.notion.so/Document-and-Plan-for-embedding-quasar-component-in-to-Vuetify-d1ff06e6e431448a993e7dd40ab6ed56?pvs=21), Email based project management tool update (https://www.notion.so/Email-based-project-management-tool-update-1dda5426bc28466babf852d9895c666d?pvs=21), Move API Docs Folder to Most outer level under component. Extract Styles used by API Docs to individual style sheet (https://www.notion.so/Move-API-Docs-Folder-to-Most-outer-level-under-component-Extract-Styles-used-by-API-Docs-to-individ-3d9782d1cef2431183f574fb093873a8?pvs=21), Websocket Documentation Process & Embed Try it Out to platform - With Priya (https://www.notion.so/Websocket-Documentation-Process-Embed-Try-it-Out-to-platform-With-Priya-0382a5b656f94672a2fe84aa383d2882?pvs=21), Check with KT about Wayne's write up about online ASR demo app (https://www.notion.so/Check-with-KT-about-Wayne-s-write-up-about-online-ASR-demo-app-2b3db40fd8f7481fbdcf9c0bee46717f?pvs=21), Online ASR time buffer update text, remove below description, add 0.3 and 0.8 time buffer (https://www.notion.so/Online-ASR-time-buffer-update-text-remove-below-description-add-0-3-and-0-8-time-buffer-8cadb1668bd046468312e798c2253510?pvs=21), Typo fix: parsed result (https://www.notion.so/Typo-fix-parsed-result-16cafa6d828d44419f62ea14ea8c983f?pvs=21), Update Wayne's text to tooltip of online ASR demo app (https://www.notion.so/Update-Wayne-s-text-to-tooltip-of-online-ASR-demo-app-aa9c04f7d3bc4ae5b70b6c6dcd906a81?pvs=21)",Cannot start next planned event immediately. Lost control of time,18,,0.722222222222,16,
Jul 25,Sunday,░░░░░░░░ 88%,██████████ 100%,🔵🔵⚪️⚪️⚪️⚫️⚫️⚪️,🔥 Very Productive,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,2.75,0,7.25,,,40,Quick decision on hard tasks,Week 29 (https://www.notion.so/Week-29-126caf97250d4f1692be9a8591c4a5a1?pvs=21),"July 25, 2021",0.875,Can’t I do things slowly and consistently?,10,Evaluation after each activity,"1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-51f619258d1442669cddc8fdd6126c66?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-c21e6d8c57dc4748a483b5a56bc31c1e?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-61641843a7c744168257e9e6aa1ea557?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-081999ecbef84448b4b85e4521f4befb?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-4d6bf33501d64da98005590785943b62?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-f2d22286381d4615919297d639f2cb34?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-f270f3158cfd438296561b942cf1f3f7?pvs=21), Download raw response data as JSON function (https://www.notion.so/Download-raw-response-data-as-JSON-function-0521eb4463904788bf4e1852ac7eaf40?pvs=21), Multiple Toggle Buttons Component (https://www.notion.so/Multiple-Toggle-Buttons-Component-9a052f1024c149fdb78df00b76d93fa4?pvs=21), Components Relation Charts (https://www.notion.so/Components-Relation-Charts-f6b4981bf0a74726bfdf7bf3eab13a7e?pvs=21)","Lost in planning, long inefficient breaks, bad eating quality",10,,1,10,
Jul 24,Saturday,░░░░░░░ 75%,████████ 83%,🔵⚪️🟢 ⚪️🟣⚫️⚫️⚪️,🚀 Productive,No,Yes,Yes,Yes,Yes,Yes,Yes,No,8.75,2.5,1,7.25,5,2,80,Move to next action without any break. Set 1 hour nap time. Stop immediately when time is up,Week 29 (https://www.notion.so/Week-29-126caf97250d4f1692be9a8591c4a5a1?pvs=21),"July 24, 2021",0.75,Can’t I do things slowly and consistently?,10,Evaluation after each activity,"1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-738abfebee424225ac1a98de2d4c9329?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-d007b74439b143098209ecf0b254464f?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-18c73ad03c4742a19ba2400b692c4080?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-152e7e86f71944e492534473de93665c?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-381390d1ffac4a2dbb389ab752d0a9c4?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-366fca6f6a4f434bab0275171f12c9f9?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-63c799ce01ed49b5b0c646254022e2b0?pvs=21), Add hide / show button for small hint text under each fields input row (https://www.notion.so/Add-hide-show-button-for-small-hint-text-under-each-fields-input-row-3af0e2d4f3e844c6be4564158f2bd7bb?pvs=21), Bug fix - Error display when toggle between Fields / JSON input button  (https://www.notion.so/Bug-fix-Error-display-when-toggle-between-Fields-JSON-input-button-c0207fa4274f4d849f70f1a605a8f077?pvs=21), Display input data with expandable item in result page (https://www.notion.so/Display-input-data-with-expandable-item-in-result-page-609a6b44a7794109be545ccd777e97ce?pvs=21), Housework (https://www.notion.so/Housework-0556c9d2a68d420ca07160eef6687fcc?pvs=21), Week 29 Review (https://www.notion.so/Week-29-Review-a5039d6d0c80462a99414eafdea86244?pvs=21)",Try blindly before research. Drink beer. Bad decision making process.,12,,0.833333333333,10,
Jul 23,Friday,░░░░░░ 63%,████████ 80%,⚪️⚪️⚪️⚪️🟣⚫️⚫️⚪️,🚀 Productive,Yes,No,Yes,Yes,Yes,No,Yes,No,7,2.75,3,7.25,,3.5,34,,Week 29 (https://www.notion.so/Week-29-126caf97250d4f1692be9a8591c4a5a1?pvs=21),"July 23, 2021",0.625,Can’t I do things slowly and consistently?,8,Evaluation after each activity,"1 - Codeacademy Practice (https://www.notion.so/1-Codeacademy-Practice-731bde791acd432a9ba799df9b2c0a7a?pvs=21), 6 - Leetcode (https://www.notion.so/6-Leetcode-70786596f11f49e4a24f2e7dc2953e13?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-526bb9c730434f5a88352a1a3c3dd75b?pvs=21), 7 - Daily UI Practice (https://www.notion.so/7-Daily-UI-Practice-cb7fe032b5774932b05c3a9b23f0aaea?pvs=21), 3 - Calligraphy (https://www.notion.so/3-Calligraphy-603ac9e26dcd4aa5bba1a5ab7054f92a?pvs=21), 4 - Meditation (https://www.notion.so/4-Meditation-5f933e0162ae4cefabcea8ed757eeb11?pvs=21), 5 - Daily Article Reading (https://www.notion.so/5-Daily-Article-Reading-9b22f9ca9348481db8920f4559ac4bf1?pvs=21), Log in process survey 2 options flowchart (https://www.notion.so/Log-in-process-survey-2-options-flowchart-c5b59551f34048bbafaceef46a1fb510?pvs=21), Reading materials → Knowledge Lab (https://www.notion.so/Reading-materials-Knowledge-Lab-f20ed07c7bbb44a6b822149b49722390?pvs=21), Update marketing research spreadsheet  (Refer to Nick's whatapp message) (https://www.notion.so/Update-marketing-research-spreadsheet-Refer-to-Nick-s-whatapp-message-dc8479666fdb4597ba73c0447e9e2233?pvs=21)",Talk slow and talk simple,10,,0.8,8,
